"id","it2010","it2011","sw2010","sw2011"
3,31.4285714286,23.125,35,32.75
6,33.4285714286,36.25,23.375,33
7,32.5,38.3333333333,30,12.6666666667
8,30.625,35.8333333333,29.1,32.5
11,30.5,35.5,24,23.25
13,22.5,39,40,31.8
14,30.2857142857,26.8,26.8,NA
16,28,28,29.5,36
18,22.8,32.6666666667,38.5,31.2857142857
23,26.8,27,35.6,26.6666666667
24,19.6666666667,26.3333333333,26.8,27.25
25,22.25,25.1428571429,33.75,28.5
26,36.625,29.3333333333,29,20
28,36,24.75,30,26.6666666667
29,NA,27.4,34,25
30,25.875,33.25,40,26.6666666667
31,23.75,25.3333333333,37.5,26
32,20,29.5714285714,23.25,22.6666666667
34,37,25.5,33.5714285714,28.6666666667
35,28.4285714286,31.2857142857,39,31.875
36,25.8333333333,28.7777777778,29,29.4
39,30.25,22.25,36,30
40,30,26.4285714286,32.1666666667,30.2
41,29.4,18,36,32
42,28,27.5,32,20.75
44,30.75,35,35.2,29.3333333333
46,34.2,24.2857142857,37.3333333333,26.6666666667
47,36.125,27.25,30.8333333333,34
48,24.6666666667,23.2,36.4,26
50,30.75,28.8,33.75,28
51,22,28.1428571429,36.5555555556,22
52,27,45.5,31.8571428571,17
53,28.6,34.75,36,30.25
58,25.75,31.1428571429,25.4,32.8333333333
59,21.5,25.5,40,28.625
60,30.1666666667,25.3333333333,34,25
61,23.6666666667,25.6363636364,35.8,19.3333333333
64,19.5,15,34,26.3333333333
65,29.75,34.2,36.7142857143,NA
67,21,29.25,31.8571428571,27.5
68,27.6666666667,31.3333333333,36.8333333333,33.6666666667
69,28.5,23.7142857143,35.3333333333,36
70,28.25,31,32.8571428571,27
72,31.25,21.5,34.6666666667,34.4
74,33,20.2,33.6666666667,18.5
75,22.3333333333,28.125,27.8333333333,NA
78,30.5714285714,27.8571428571,31.375,28.4
84,37.5,32.75,40,23
85,28.5,35.4,41.25,33.6
87,27,31.5,36.25,30
88,35.375,35.75,30.2222222222,29.1666666667
89,30.625,37.1428571429,43.5,29.2857142857
90,30.8,29.5714285714,43.6666666667,29
91,33.4285714286,27.6666666667,39.625,18
92,23.2,30.8,35.125,33.6666666667
99,28,27.3333333333,37.6666666667,32.3333333333
100,27.2857142857,24.875,32.8333333333,33.3333333333
103,28,24.1666666667,39,32.25
104,31.4,26.8571428571,45,33.2
105,29,28,48.4,41.75
106,32,26.5,37,30.6666666667
108,19.6,23.6666666667,25,30.8333333333
109,32.4,26.5,31.6666666667,26
110,31.1666666667,28.5,32,26.2857142857
111,24.375,29.2857142857,32.25,25.25
114,32.5,41.5,39.6666666667,28.7777777778
115,29.4,26.8333333333,36.6,29.2
116,28.3333333333,30.5714285714,30.6666666667,29
120,34.5714285714,29.4,34.7142857143,35
123,7,29.5,39.8888888889,32.5
124,21.6,26.7142857143,33,25.5
126,28.5,32.375,27.75,31
127,28.75,29.2,32.25,29.5
128,29.75,30,36.2,27.2
129,24.125,26.2857142857,36.1666666667,25.6
130,27.8333333333,31.3636363636,36.75,30
132,24.75,17.6666666667,30.1666666667,28
134,24.3333333333,17.5714285714,17.6666666667,14
136,26,26.2,36,35.5
137,34.5,33,38.75,40.25
138,31,41.4,30.1428571429,23
139,28,19,37,38
140,31.4285714286,26.4444444444,30.2,23.6666666667
141,19.8,24,36.1666666667,31.6666666667
143,28.8571428571,33,30.4,30.8
144,31.6,28.75,33.1666666667,35.25
145,19.25,17.6,36.2857142857,31
146,33.7142857143,39.25,33,28.5
147,NA,NA,NA,NA
148,27.3333333333,20.8571428571,36,35
149,40.6,37.6666666667,33.4,24
150,27.2,28.5714285714,33.5,26.2
152,30.375,25.875,38.5,47
154,13,23.2222222222,34.3333333333,32.1666666667
155,24,18.1111111111,44.1428571429,35.8571428571
157,26.8333333333,29.1666666667,37.8333333333,30
158,30.8571428571,27,31,28.4
159,27.3333333333,32.6666666667,42.1666666667,35
160,30.2,27.8,38,22.8571428571
163,31.5714285714,32.2,35,35
165,29.125,33.8571428571,38,32.5714285714
167,23.6666666667,28.6666666667,39,20
169,31.8333333333,22.3333333333,36.5,38.5
170,35.3333333333,32.1428571429,41,39.4285714286
171,27.25,24.7142857143,30.4,33.4
173,25.25,29.6,35.75,28
174,26.4,37,41,36
175,17,34,28.2857142857,22.5
176,NA,25.25,40,30.5
179,23.2,32.2,30.8888888889,26.75
181,23.6,31.5,30.6666666667,39
182,20.2,24.3,37,30.875
184,NA,21.5,NA,34.3333333333
186,NA,19.3333333333,NA,34.7
187,24.5714285714,28,31,28.6
188,19.5,21.8333333333,37.75,40.5
189,27.4,26.6666666667,36.6,28
190,31.3333333333,29.6666666667,29.4,27.8333333333
191,31.6666666667,30.25,37.2857142857,31.3333333333
192,30.75,29.5,41.8,39
194,30.5714285714,26.4,39.1666666667,32.2857142857
195,34.1,33.1428571429,39.6,32.8
196,27.375,26.2,39.125,36
197,31.5,27.875,28.5714285714,24.5
198,23.5,20.3333333333,34.8333333333,27
199,31,29.875,41,28
200,23.8,26,38,30.1666666667
202,25.2,31.5,36.3333333333,28.1666666667
203,19.5,27.5714285714,27.75,28.6666666667
205,28.8571428571,29.4,40.8571428571,35
206,24.25,22.5,36.8333333333,32.75
207,26.25,23.2,41.8571428571,15
208,37.6,31.5,34.8333333333,36.2
209,36.5,23.8333333333,28.25,31.7142857143
210,31.8333333333,26,39,32.1666666667
212,25.75,26.5714285714,36.6,28
213,NA,NA,NA,NA
214,27.4285714286,21.25,39.5,24
216,25.2,26.7142857143,32,25.25
218,26.6,22.5714285714,41.25,36.3333333333
219,26.75,14,31.75,26.1428571429
220,26.4285714286,27.875,34.5,30
222,33,29.8571428571,43.2,33
223,29.75,29.2,36.4,24.7142857143
224,34.8,26,41.2,33
225,21.5,26.875,38.5,35.1666666667
226,27.3333333333,27.3333333333,35.1428571429,33.875
227,27.25,28.4,38.25,29.6
228,30.75,26.4285714286,43.5714285714,36.4
230,24.2,22.5714285714,37.75,36
NA,NA,NA,NA,NA
232,24.5714285714,22.6,36.3333333333,23
234,23.6,27.5,33.8333333333,28.6
236,27.3333333333,24.4,39.7142857143,26
237,28.6,25.6,36.8,26.8888888889
239,29.8,32.8571428571,36.8333333333,32.8571428571
240,28.75,28.6,39.75,35.6666666667
241,30.25,31.875,24.6666666667,31.75
242,19.5,20.4,32.5,33.4285714286
243,20.6666666667,20.5,28,36.5
245,28.3333333333,20.3333333333,41.25,34.5
246,26.4285714286,32,39.625,36
247,22,23.6666666667,38.8,36.625
249,28.5,18.75,40.125,37.8571428571
251,23.75,20.4,40.3333333333,30.6
253,31,25.2857142857,42.6666666667,30.8333333333
254,30.1666666667,21.3333333333,39.8,31
256,42.4285714286,27.7,29,43.6666666667
259,29,25.8888888889,39.8,21.6666666667
260,31.3333333333,23.4,37.125,33.1111111111
262,20,15.75,31.2,29.1666666667
263,22.4,25,36.1428571429,29
264,24.75,17.75,32,24
266,30,25.25,36.3333333333,33
267,24.5,27.2,39.75,29.6666666667
268,27.4,24.7777777778,30.6,26
270,23.75,27.1111111111,39,30.25
272,36.6666666667,28.8888888889,29,30.25
273,23.4,20.6666666667,45.75,31.6
275,27,27.1428571429,38.4285714286,28.3333333333
279,25.6666666667,32,27.7142857143,30.3333333333
281,26.6,19,42.75,34.6666666667
282,23,17.25,34.6666666667,26.5
284,27.1666666667,29.7777777778,42.25,38.8333333333
285,31.25,26.8571428571,40.6,27.6
289,27.8333333333,31.2857142857,32,34.5
291,24,29.7142857143,40.2857142857,28
295,30,22.8571428571,38.75,31
297,30.5,23,35.5714285714,34.5
299,24.3333333333,17.2,42.8,29.7142857143
301,26,25.4444444444,30.875,27
302,NA,NA,NA,NA
303,32,30.3333333333,42.3333333333,33.8
304,33.8,20.75,41.25,29.2857142857
305,18,21.7142857143,35,20.8
306,36.5,28.625,37.5714285714,26.25
308,28,24.7142857143,39.6666666667,37.2
309,28.5,27.375,37,27.5
310,28.6,20.1428571429,31.6666666667,30.75
311,28.5,31.5,33.25,20
312,35,27.8,44,42.4
313,23.5714285714,25.6666666667,35,27.25
314,30,24.2727272727,38.3333333333,33.1428571429
316,24.1666666667,27.125,36.5,33.6
317,20.5,31.75,32.6666666667,33.7142857143
323,25.2222222222,29.4444444444,33.5,35.4
324,22,27,40.8,33.3333333333
326,23.5,24.8333333333,35.7142857143,32.2857142857
328,22.5714285714,29.2,36.2,33.8333333333
330,35.25,29.625,28.4,25
331,26,22.875,37.6666666667,26.5
332,22.8,22,26.5,29
333,25.25,35.5,37.1428571429,35.1666666667
334,20.25,21.5,29,27.3333333333
335,18.4,25.5,33,29.5
336,26.8571428571,26.8333333333,38.1666666667,33.2857142857
337,23,23.75,33.75,30.25
338,27.8333333333,25.7142857143,NA,42.8333333333
341,27.2,18,32.6666666667,25.4
342,17.75,15.5,39.6,29.5
344,29.25,26.5,43.2,39
345,21.5,21.3,35,29.75
348,26.75,17.5,42.8333333333,35.4285714286
349,29.5,24.8571428571,NA,35.6666666667
351,22.6,17.625,32.6666666667,35.8
352,16.25,26.8888888889,29.2,31.6666666667
353,23.2,19.1666666667,32.1666666667,31.125
356,30,26.2857142857,33.625,34.7142857143
357,32.6666666667,19.3333333333,32.6666666667,34.5
358,22.3333333333,24.8333333333,39.25,36.2857142857
360,30.25,25.8888888889,34.5,29
361,34.8,22.5,43.4285714286,49
362,30.1428571429,30,29.2,25
364,26.2,24.25,33.8,36.4285714286
366,30.4,25,40.8333333333,35.75
369,26.4,26.125,41.25,34.5
371,18.25,20.7142857143,38.3333333333,35.2857142857
379,26.4,25.6,36.8,42.8571428571
380,25.5,28,36.2,28.1666666667
383,27.25,23,35.6,32.75
384,40,27,44,32.8571428571
385,28.1428571429,25.8,28.1666666667,24.2857142857
386,29.3333333333,21.6,32.6,33.7142857143
388,31.2,31,19.3333333333,23
390,30.5714285714,29.6,41.1111111111,23.4
391,31.6666666667,29.3333333333,34,34
