"genotype","it2010","it2011","sw2010","sw2011"
3,391.61417428607,245.14724324375,806.70355605,487.0304051775
6,471.907833428975,467.752001875,527.88794366,NA
7,432.00716,577.476013632831,664.2122955,107.528621001616
8,427.36887375,465.362079849567,743.830747728,NA
11,364.999844,407.650561555,583.151904,422.189629455
13,122.698305,NA,914.9542328,620.417474346
14,450.32222285693,299.614891484,576.510446644,NA
16,338.490348,288.18458424,674.931391195,NA
18,129.4917108,216.228875016221,924.8271802,443.095509291226
23,230.2192896,225.47854629,858.644289316,224.009122373613
24,150.056391333588,264.782378719665,610.181127268,323.5858248825
25,208.28759,187.531336834605,767.6585692875,441.515881905
26,634.593464,389.82268541289,662.25495156,NA
28,387.793368,259.81772652,752.3611203,326.267753067075
29,NA,216.249421958,840.50067472,318.65320925
30,244.902346875,359.405352705,950.9443608,267.623649867001
31,209.05255875,NA,978.92362275,NA
32,129.50822,459.096369723842,491.313448365,199.59336025496
34,435.008556,201.1717111305,838.434155863572,300.004250147016
35,255.482795428828,271.799277460162,946.85406738,572.28260154375
36,254.927104999671,351.550103426938,720.50134078,541.45834029
39,187.54845725,174.52942352875,NA,569.3205042
40,277.61022,179.125326955908,805.790349612502,410.022239268
41,214.4506854,135.90205389,866.63945556,550.46337696
42,294.89572,232.630000515,1092.2460032,190.7935290525
44,193.7538435,240.110155565,761.390121536,267.561804282363
46,268.1987598,207.072967769878,792.251949439293,345.596801600432
47,526.071071125,225.592030504,768.248853424169,NA
48,310.946569333754,230.91149544,878.752085848,NA
50,428.3588775,422.577155808,718.415106975,NA
51,110.182138,252.847982903385,1105.19825920912,NA
52,213.348924,NA,777.657423777525,NA
53,231.1032152,377.49774568,NA,422.1517293675
58,159.4890625,265.573250435794,535.874317124,428.280186371232
59,84.52596,NA,857.5303396,357.8397767625
60,381.004638000421,213.667238659719,878.9416007,450.1444255
61,185.145185333594,297.561059689513,1027.341778376,256.764455266224
64,NA,NA,817.48400072,223.423237776051
65,233.93802425,367.316080776,1018.91751940325,NA
67,168.225015,293.24371167,809.756686336053,NA
68,251.293207000303,307.784097289006,833.196098994246,798.088299014124
69,232.2303975,207.432845767268,787.447844145924,450.59734584
70,193.0349055,296.137996538,758.106692156154,NA
72,351.09296875,230.93353949,788.350167280758,486.949312144
74,268.300329,140.2655889878,864.136136330856,154.8166615335
75,228.176070999659,333.34577015625,623.044805182587,NA
78,363.913756285374,286.33330829956,867.69325178875,259.9618543564
84,208.9941375,239.06308060475,989.249052,327.70993791
85,252.1624995,315.0997329246,933.0800254875,463.48097712
87,237.610314,421.65278316,812.4324251625,391.3706106
88,527.470399,535.4499797075,882.979072177129,268.185636891973
89,328.95837625,326.944497694663,1039.55556846,363.608524599823
90,275.7045984,227.326126387923,1023.17701174078,286.167329463
91,206.385860571605,218.50107068793,973.93258082125,NA
92,185.532836,267.9866306656,930.26665152875,546.632137380541
99,183.566628,262.454423673013,792.326243710701,255.847249146403
100,255.81148428558,218.24024002675,744.824803632577,330.480786466336
103,147.35168,156.470459610216,890.97635484,362.8729071525
104,156.2139638,176.442808099718,1013.1014718,385.755311548
105,296.685689,183.926193248,1175.007295132,704.6620498275
106,258.387936,169.6106343705,868.67110676,387.634766653755
108,203.3025092,220.550641709977,NA,378.181485941258
109,297.6760044,331.51749736,771.628728967479,323.61576858
110,350.290924500375,352.617515685,729.11736672,454.637499268324
111,199.622986875,339.758055849834,700.02205782,244.12528657025
114,397.996235,NA,968.564629037481,445.892124541455
115,213.6360114,249.216080069524,834.60343716,377.775265428
116,239.198556666385,346.775282582533,696.30988777409,324.23966867
120,398.237447142528,313.470659502,812.003142960334,456.58396315
123,NA,233.3349333315,996.772896226944,501.051906225
124,96.8372928,202.912066982537,NA,192.5948506455
126,221.377569,396.00929739875,615.7558436175,473.85825961
127,209.94966375,167.168960334,701.8757694375,392.79031051
128,152.041302,268.92139602,833.144451982,256.7572313568
129,130.66403975,220.718609729023,800.982103005738,204.7999682304
130,172.81908716646,273.301082155592,820.417868445,301.9432647
132,157.69217475,148.204824231946,800.000505094217,352.345847
134,184.541323333081,140.625501391914,376.247902944043,146.8059565
136,178.961614,164.9350235634,887.33899584,525.30159897
137,252.006078,239.872971954,870.9272614125,622.35768126
138,361.006811,576.321393654,748.803753053922,244.31612782
139,295.198624,NA,826.11203288,NA
