id,F09_IT_Surv_noedge_mean,F09_SW_Surv_noedge_mean,F10_IT_Surv_noedge_mean,F10_SW_Surv_noedge_mean,F11_IT_Surv_noedge_mean,F11_SW_Surv_noedge_mean,F09_IT_NFrFrPr_noedge_mean,F09_SW_NFrFrPr_noedge_mean,F10_IT_NFrFrPr_noedge_mean,F10_SW_NFrFrPr_noedge_mean,F11_IT_NFrFrPr_noedge_mean,F11_SW_NFrFrPr_noedge_mean
3,0.875,1,0.777777778,0.388888889,0.833333333,0.5,14.64285714,11.82352941,17.85714286,45.85714286,13.46666667,33.66666667
6,1,0.642857143,0.888888889,0.611111111,0.888888889,0.277777778,23,8.333333333,19.5,27.90909091,16.1875,11.2
7,1,0.611111111,0.944444444,0.444444444,0.944444444,0.333333333,15.82352941,6.636363636,17.29411765,42.5,17.94117647,10.66666667
8,1,0.8125,0.944444444,0.833333333,0.944444444,0.166666667,21,8.230769231,18,49.66666667,15,13.66666667
11,0.944444444,0.947368421,0.823529412,0.777777778,1,0.555555556,13.41176471,14.22222222,16.64285714,40.85714286,12.38888889,44.5
13,0.941176471,0.875,0.611111111,0.444444444,0.5,0.611111111,15.6875,8.071428571,5.545454546,41.125,5.222222222,37
14,0.947368421,0.555555556,0.888888889,0.555555556,0.833333333,0.166666667,24.38888889,7.2,19.1875,30.8,14.6,14.33333333
16,0.882352941,0.941176471,0.823529412,0.444444444,0.777777778,0.333333333,19.2,13.5625,16.92857143,47.75,12.5,22.5
23,1,1,0.705882353,0.5,0.888888889,0.333333333,11.26315789,11.11111111,13,60.77777778,10,12
24,1,0.9375,0.888888889,0.611111111,0.833333333,0.444444444,13.25,11,9.125,38.18181818,12.06666667,23.125
25,1,1,0.833333333,0.722222222,0.833333333,0.555555556,14.66666667,12.1875,11.93333333,33.61538462,9.6,32.1
26,1,0.7,0.944444444,0.388888889,0.888888889,0.166666667,18.05882353,8.5,24.58823529,43.85714286,15.75,20.66666667
28,1,1,0.888888889,0.611111111,0.944444444,0.444444444,15.76923077,12.88235294,14.25,51.81818182,11.64705882,24
29,1,0.9375,0.222222222,0.611111111,0.666666667,0.555555556,13,12.2,6,52.36363636,10.75,22.8
30,1,0.9375,0.777777778,0.444444444,1,0.388888889,11.1875,13.4,13.35714286,57.5,11,19.85714286
31,1,1,0.722222222,0.5,0.722222222,0.222222222,18.0625,11.26315789,14.33333333,65.88888889,10.07692308,22.75
32,0.882352941,0.666666667,0.666666667,0.555555556,0.944444444,0.277777778,16.93333333,8.25,8.916666667,20.8,18.70588235,29
34,1,0.947368421,0.833333333,0.666666667,0.833333333,0.444444444,12.29411765,15.44444444,16.92857143,47.58333333,7.666666667,13.875
35,0.842105263,0.75,0.833333333,0.5,0.777777778,0.777777778,18.25,7.5,12.2,55.33333333,10.14285714,28.92857143
36,0.846153846,1,0.777777778,0.555555556,1,0.444444444,13.72727273,13.82352941,13.28571429,46.6,13.27777778,48.375
39,1,0.947368421,0.5,0.333333333,0.722222222,0.555555556,12.4375,13.72222222,10.22222222,44.66666667,11.23076923,41.2
40,1,1,0.666666667,0.722222222,0.777777778,0.666666667,14.72222222,13.4375,15.33333333,48.15384615,8.642857143,23.66666667
41,0.8125,1,0.611111111,0.5,0.666666667,0.5,13.53846154,13.05263158,13.18181818,49.55555556,7.75,40.77777778
42,1,1,0.888888889,0.666666667,0.888888889,0.444444444,15.27777778,10.29411765,12.6875,120.0833333,9.6875,11.25
46,1,0.944444444,0.777777778,0.333333333,0.888888889,0.666666667,9.35,10.23529412,9.5,39,7.8125,21.16666667
47,1,1,0.888888889,0.611111111,0.888888889,0.222222222,15.3125,14,20.375,59.27272727,9.4375,15
48,1,0.9375,0.764705882,0.5,0.888888889,0.388888889,14.82352941,13.73333333,20.30769231,54.11111111,11.625,21
50,1,0.8125,0.823529412,0.388888889,0.888888889,0.277777778,19.70588235,9.076923077,21.28571429,42.42857143,19.0625,15
51,1,1,0.611111111,0.722222222,1,0.222222222,14.23076923,11.8125,6.545454546,79.53846154,10.38888889,23.5
52,1,1,0.764705882,0.611111111,0.777777778,0.222222222,13.70588235,9.111111111,8.384615385,44,13.35714286,11.75
53,0.888888889,1,0.611111111,0.444444444,1,0.555555556,12.75,11.23529412,11.90909091,54.75,12.55555556,27.2
58,1,1,0.666666667,0.444444444,0.833333333,0.611111111,10.9375,10.86666667,8.166666667,30.25,10.93333333,24.90909091
59,0.933333333,0.944444444,0.444444444,0.444444444,0.555555556,0.611111111,7.071428571,8.529411765,6.5,34.625,6.9,20.63636364
60,0.941176471,0.947368421,0.611111111,0.444444444,0.722222222,0.555555556,15.875,17.83333333,24.36363636,70.75,11.76923077,36.2
61,1,1,0.777777778,0.611111111,1,0.444444444,13.15789474,13.52941176,11.42857143,84.54545455,13.11111111,27.125
64,1,1,0.722222222,0.555555556,0.777777778,0.444444444,14.6875,16.21428571,4.916666667,47.3,7.357142857,8.625
67,1,1,0.833333333,0.722222222,1,0.444444444,17.5,14.57894737,9.533333333,50.30769231,10.33333333,14.875
68,0.833333333,0.909090909,0.722222222,0.611111111,0.944444444,0.611111111,8.8,12.3,12.61538462,32.54545455,10.23529412,52.54545455
69,0.933333333,1,0.777777778,0.333333333,0.888888889,0.555555556,12.42857143,17.94117647,9.857142857,48.33333333,8.75,21.7
70,1,1,0.611111111,0.666666667,0.888888889,0.333333333,13.875,12.1875,9.727272727,37.5,11.4375,20.33333333
72,0.894736842,0.947368421,0.833333333,0.444444444,0.944444444,0.611111111,11.23529412,8.833333333,15.8,54.25,11.82352941,23.18181818
74,1,1,0.555555556,0.611111111,0.777777778,0.333333333,10.88888889,10.5,14.7,55.09090909,8.428571429,7.666666667
75,1,0.944444444,0.666666667,0.5,0.888888889,0.444444444,15.33333333,13.58823529,16.58333333,38.55555556,15.1875,29
78,1,0.944444444,0.666666667,0.722222222,0.833333333,0.555555556,14.16666667,12.64705882,20.83333333,67,13.8,14.9
84,0.941176471,1,0.555555556,0.722222222,0.722222222,0.611111111,9.9375,12.25,8,42.38461539,6.461538462,21.81818182
85,1,1,0.529411765,0.388888889,0.833333333,0.5,10.2,11.16666667,19,47.85714286,9.933333333,28.44444444
87,1,1,0.722222222,0.5,0.833333333,0.444444444,14.35294118,9.588235294,10.84615385,36.88888889,18.46666667,27.25
88,0.941176471,1,0.833333333,0.722222222,0.888888889,0.5,20.125,10.94444444,21.8,72.38461539,18.6875,15.33333333
89,1,1,0.833333333,0.666666667,0.888888889,0.5,13.375,10.70588235,14.13333333,40.41666667,10.625,24
90,0.833333333,0.941176471,0.666666667,0.444444444,0.833333333,0.444444444,10.33333333,12.25,14.66666667,51.75,8.866666667,12.5
91,0.941176471,0.944444444,0.555555556,0.611111111,0.944444444,0.444444444,9.875,12.70588235,8.8,52.63636364,8.352941176,8.25
92,1,1,0.611111111,0.722222222,0.833333333,0.555555556,11.75,13.85714286,11.63636364,59,9.733333333,31.9
99,0.9375,0.941176471,0.5,0.277777778,0.944444444,0.277777778,12.93333333,11.4375,10.66666667,44.2,9.235294118,15.4
100,0.923076923,0.923076923,0.833333333,0.444444444,0.888888889,0.444444444,16.33333333,16.25,13.26666667,35.375,9.75,17.75
103,0.736842105,0.9375,0.555555556,0.555555556,0.666666667,0.611111111,11.92857143,7,7.4,34.8,6.75,15.90909091
104,1,1,0.444444444,0.444444444,0.888888889,0.666666667,10,9.333333333,8.25,38.375,8,14
105,0.9375,0.95,0.722222222,0.666666667,0.666666667,0.777777778,14.13333333,11.26315789,16.92307692,51,9.583333333,26.71428571
106,0.8125,1,0.555555556,0.666666667,0.611111111,0.611111111,9.384615385,12.26666667,14,41.83333333,8.727272727,17.27272727
108,1,1,0.833333333,0.333333333,0.722222222,0.666666667,14.25,11.58823529,12.33333333,35.16666667,11.92307692,17.08333333
109,1,1,0.5,0.611111111,0.944444444,0.333333333,16.47058824,10.61111111,20.33333333,44.81818182,14.88235294,31.5
110,0.941176471,0.894736842,0.882352941,0.333333333,1,0.611111111,13.75,12.47058824,16.26666667,56,13.16666667,32
111,1,0.875,0.777777778,0.388888889,0.944444444,0.333333333,14,9.571428571,10.71428571,46.71428571,14.23529412,22
114,0.9375,1,0.944444444,0.444444444,0.777777778,0.777777778,12,12.13333333,15.35294118,62.875,11.71428571,21.85714286
115,1,1,0.647058824,0.5,1,0.611111111,11.94736842,10.94736842,10.09090909,36.66666667,9.166666667,19.63636364
116,0.941176471,0.941176471,0.833333333,0.444444444,0.888888889,0.555555556,14.875,9.8125,10.13333333,33.875,12.75,19.8
120,1,0.941176471,0.666666667,0.555555556,0.888888889,0.611111111,13.11764706,15.5625,19.58333333,43.9,12.125,21.90909091
123,0.9375,0.947368421,0.222222222,0.722222222,0.944444444,0.611111111,9.333333333,8.777777778,6,45.61538462,9.470588235,27.45454545
124,0.888888889,1,0.611111111,0.333333333,0.722222222,0.388888889,13.1875,11.73684211,5.454545455,53.33333333,9.076923077,10.85714286
126,0.941176471,1,0.611111111,0.333333333,0.944444444,0.555555556,19.3125,11.22222222,11,41.16666667,14.47058824,34.5
127,0.947368421,1,0.625,0.333333333,0.611111111,0.666666667,13.66666667,9.444444444,10.8,32.83333333,9,20.25
128,0.888888889,1,0.352941177,0.5,0.888888889,0.333333333,12.75,10.66666667,10,35.11111111,11.0625,13.83333333
129,1,1,0.666666667,0.555555556,0.888888889,0.388888889,13.64705882,10.78947368,8,34.9,8.125,11.85714286
130,0.9375,1,0.823529412,0.444444444,0.888888889,0.444444444,14.86666667,10.375,6.857142857,37.5,9.1875,12.875
132,0.947368421,1,0.611111111,0.611111111,0.888888889,0.5,14.94444444,12,9.090909091,69.27272727,9.1875,21.88888889
134,1,1,0.722222222,0.388888889,0.888888889,0.444444444,11.4375,7.529411765,8.923076923,18.14285714,9.125,16.875
