"id","it2010","it2011","sw2010","sw2011"
3,17.85714286,13.46666667,45.85714286,33.66666667
6,19.5,16.1875,27.90909091,11.2
7,17.29411765,17.94117647,42.5,10.66666667
8,18,15,49.66666667,13.66666667
11,16.64285714,12.38888889,40.85714286,44.5
13,5.545454546,5.222222222,41.125,37
14,19.1875,14.6,30.8,14.33333333
16,16.92857143,12.5,47.75,22.5
18,8.8,6.75,53.375,19.83333333
23,13,10,60.77777778,12
24,9.125,12.06666667,38.18181818,23.125
25,11.93333333,9.6,33.61538462,32.1
26,24.58823529,15.75,43.85714286,20.66666667
28,14.25,11.64705882,51.81818182,24
29,6,10.75,52.36363636,22.8
30,13.35714286,11,57.5,19.85714286
31,14.33333333,10.07692308,65.88888889,22.75
32,8.916666667,18.70588235,20.8,29
34,16.92857143,7.666666667,47.58333333,13.875
35,12.2,10.14285714,55.33333333,28.92857143
36,13.28571429,13.27777778,46.6,48.375
39,10.22222222,11.23076923,44.66666667,41.2
40,15.33333333,8.642857143,48.15384615,23.66666667
41,13.18181818,7.75,49.55555556,40.77777778
42,12.6875,9.6875,120.0833333,11.25
44,9.333333333,8.2,26.5,9.142857143
46,9.5,7.8125,39,21.16666667
47,20.375,9.4375,59.27272727,15
48,20.30769231,11.625,54.11111111,21
50,21.28571429,19.0625,42.42857143,15
51,6.545454546,10.38888889,79.53846154,23.5
52,8.384615385,13.35714286,44,11.75
53,11.90909091,12.55555556,54.75,27.2
58,8.166666667,10.93333333,30.25,24.90909091
59,6.5,6.9,34.625,20.63636364
60,24.36363636,11.76923077,70.75,36.2
61,11.42857143,13.11111111,84.54545455,27.125
64,4.916666667,7.357142857,47.3,8.625
65,11.92307692,11,71.25,5.333333333
67,9.533333333,10.33333333,50.30769231,14.875
68,12.61538462,10.23529412,32.54545455,52.54545455
69,9.857142857,8.75,48.33333333,21.7
70,9.727272727,11.4375,37.5,20.33333333
72,15.8,11.82352941,54.25,23.18181818
74,14.7,8.428571429,55.09090909,7.666666667
75,16.58333333,15.1875,38.55555556,29
78,20.83333333,13.8,67,14.9
84,8,6.461538462,42.38461539,21.81818182
85,19,9.933333333,47.85714286,28.44444444
87,10.84615385,18.46666667,36.88888889,27.25
88,21.8,18.6875,72.38461539,15.33333333
89,14.13333333,10.625,40.41666667,24
90,14.66666667,8.866666667,51.75,12.5
91,8.8,8.352941176,52.63636364,8.25
92,11.63636364,9.733333333,59,31.9
99,10.66666667,9.235294118,44.2,15.4
100,13.26666667,9.75,35.375,17.75
103,7.4,6.75,34.8,15.90909091
104,8.25,8,38.375,14
105,16.92307692,9.583333333,51,26.71428571
106,14,8.727272727,41.83333333,17.27272727
108,12.33333333,11.92307692,35.16666667,17.08333333
109,20.33333333,14.88235294,44.81818182,31.5
110,16.26666667,13.16666667,56,32
111,10.71428571,14.23529412,46.71428571,22
114,15.35294118,11.71428571,62.875,21.85714286
115,10.09090909,9.166666667,36.66666667,19.63636364
116,10.13333333,12.75,33.875,19.8
120,19.58333333,12.125,43.9,21.90909091
123,6,9.470588235,45.61538462,27.45454545
124,5.454545455,9.076923077,53.33333333,10.85714286
126,11,14.47058824,41.16666667,34.5
127,10.8,9,32.83333333,20.25
128,10,11.0625,35.11111111,13.83333333
129,8,8.125,34.9,11.85714286
130,6.857142857,9.1875,37.5,12.875
132,9.090909091,9.1875,69.27272727,21.88888889
134,8.923076923,9.125,18.14285714,16.875
136,8.909090909,7.642857143,58.375,28.09090909
137,9.333333333,8.75,31.77777778,35.33333333
138,18.46153846,15.70588235,48.83333333,9.833333333
139,12.66666667,7.666666667,42.33333333,24.71428571
140,21.08333333,12.375,56.28571429,23.375
141,6.636363636,8.666666667,40.42857143,19.14285714
143,12,12.92857143,39.77777778,21
