"genotype","mean_it2010","mean_it2011","mean_sw2010","mean_sw2011"
3,22.1045710188,19.010370326,26.0220588235,22.1814123377
6,20.6745141328,18.8283529044,26.5199283657,NA
7,23.2330895466,20.2156327475,23.728603872,30.073005698
8,26.8545944187,19.2913044808,27.0878865808,NA
11,25.2456884075,18.6129908104,26.5247381404,23.4590377653
13,22.2174526862,NA,23.3944256757,27.1210485785
14,24.3069341174,21.0458441558,25.4028471528,NA
16,21.9184236419,14.2596782303,19.7259929613,NA
18,22.6405136083,17.4253505116,20.9951298701,23.8794279943
23,20.2384782609,18.7160061187,24.1660995675,27.087654321
24,26.2808649151,20.9892772472,27.4735483871,26.43330018
25,22.9570342852,17.808588186,25.7097575655,27.9457707044
26,22.0597423063,16.3991924255,22.0854558516,NA
28,23.5915236727,18.5207074265,24.2492352601,23.2458064811
29,NA,17.5653235653,20.6543650953,25.294060559
30,20.9580703095,18.7323903168,22.9918339392,24.358974359
31,18.7912698413,NA,23.1957583747,NA
32,27.0960705961,27.8909907263,27.6854727398,29.0168521663
34,21.203683456,17.7292856097,21.4498183697,25.0999768115
35,21.9288251431,19.969541671,24.3879530033,26.4712143328
36,20.8860300393,20.9652226066,24.7344877345,29.5707070707
39,19.4841601635,17.4834656085,NA,26.2914575866
40,22.9881177393,14.1120200251,22.9652660394,23.5450917015
41,24.0989078434,23.9393939394,23.8064898617,24.0801068114
42,16.7728288633,14.2258006999,23.1280568324,23.7648809524
44,21.2297338173,17.861611184,21.5148900347,22.9899804497
46,22.4864354562,19.0162738496,22.5354239257,27.1987802793
47,18.9733075185,14.3461538462,24.2797150539,NA
48,20.7364437806,23.2134615385,24.4114509246,NA
50,23.6299768138,16.0680077286,23.4135536398,NA
51,21.6547619048,17.2580145418,26.5036352817,NA
52,20.1840804872,NA,23.7287757789,NA
53,21.0513558905,18.64662274,NA,27.5407524121
58,20.501237067,20.9180928092,27.0405878951,28.8314288097
59,20.7221019721,NA,26.9603369603,24.5152449666
60,23.7074919747,19.647008547,23.7567963858,25.5679012346
61,21.9369524094,22.0611566812,23.2039388108,21.3709329886
64,NA,NA,23.8076132081,21.3443963444
65,22.0572916667,15.6203015375,21.030190007,NA
67,22.7393715501,22.1267289616,22.6851687865,NA
68,25.4088862453,23.3493867244,26.6904305919,28.5469798057
69,23.1588271076,17.3755392004,24.0408812174,25.2946941394
70,24.3863636364,21.0642554534,25.0901983763,NA
72,24.5998555058,18.4980885342,26.3792404036,31.0164188752
74,19.7612090808,19.962905452,25.2810890311,23.5669468811
75,23.0886378706,20.7964062964,24.1778591779,NA
78,20.2241977599,19.1378152271,22.2135709568,21.8928960824
84,24.0835637481,22.7928444105,24.7367683037,26.5797305764
85,21.2975931065,19.1903799904,21.6051184782,24.224185875
87,23.1923469419,21.9795848316,26.0944626515,33.7655677656
88,23.3222545557,20.9136887301,28.4159210783,24.0632614993
89,21.7767575846,21.0044482208,27.1650323885,28.2596423034
90,20.7048739496,18.8283462443,26.7248586494,30.4365807987
91,20.6312931807,18.5037220628,23.7310365542,NA
92,18.8907802724,17.7622602243,22.7109797535,24.5061403272
99,22.2816143895,21.0058159022,26.6756914583,27.0947802198
100,23.1886080769,20.22714843,24.8319363453,25.9597069597
103,21.7073252688,16.3105669266,25.3879647911,25.8183803763
104,20.6070702402,16.078201976,25.9364505057,28.1918796992
105,26.1937128763,26.6116557734,27.4963997907,28.4387790216
106,22.7501937153,16.6430835921,23.8742541243,26.7180660596
108,22.0808080808,16.0138888889,NA,21.5334725313
109,22.2879990324,26.2060981134,27.7949699617,28.3025911287
110,24.8730443533,17.9448930135,22.941217766,23.231587503
111,27.290377703,17.9349216873,24.4801032301,27.6206570347
114,23.4687087342,NA,26.3145645646,27.9676315821
115,22.5193261213,18.5947652348,26.7113859172,23.7034493284
116,23.3172508818,24.9724080205,27.5990675991,26.0846560847
120,28.0466949728,19.518128655,25.9402873452,26.624698667
123,NA,22.354197901,26.9614641221,26.2718142341
124,19.7377403063,18.7640625096,NA,30.774122807
126,20.3101335328,20.4556166841,20.8293621701,23.9765807324
127,21.648478836,19.1498989516,22.3815052337,26.6804913474
128,20.837535014,18.4904569252,26.8206353049,24.251962677
129,25.3343360492,20.6461408961,25.6278075538,27.0950915751
130,21.1127619754,17.2825850399,24.0159774436,27.5417811355
132,21.7430229831,16.6742964147,23.1234156731,25.1411043666
134,42.94749455,28.5919191919,38.287037037,39.9615384615
136,18.6412770868,22.6280807305,25.2083333333,25.1899759904
137,21.5417096663,20.57318802,24.2471988796,27.0761093486
138,27.5589225589,22.186194091,23.6293909426,25.1167557932
139,19.3663210445,NA,23.0991404429,NA
140,25.1414369774,23.825145455,25.8024779818,26.1029258098
141,26.3293188293,23.9479331126,22.8926330053,23.7490031898
143,23.6977254533,24.0202020202,21.7137433614,23.7384363338
144,23.202355195,20.5667723749,26.1780796898,29.1888776428
145,21.6666666667,11.633186473,30.9295256166,30.0639398915
146,21.668933619,20.4640035607,NA,NA
147,NA,NA,NA,NA
148,25.1314217443,23.4875285953,26.3210573211,27.1838580827
149,23.8526636172,21.6350956434,27.5027417027,27.137973138
150,20.8890646984,20.0162110138,27.4082870234,26.3592546584
152,25.9208250648,19.4463629236,27.065760791,NA
154,17.9329004329,19.6371848163,27.7306482902,31.1555066797
155,21.4870614035,21.281929768,23.6868106983,24.9744069311
157,21.3404159549,17.7380213141,24.3366682346,25.303030303
158,22.0928626037,21.2617791467,21.3736263736,26.6291666667
159,24.2717117848,22.4143654966,23.9865433455,NA
160,30.5962308295,22.7843960476,26.9094579657,28.288420835
163,20.9001003732,15.979393546,24.0584282987,26.2319235589
165,28.0327695966,21.6360826789,25.3718503719,28.7424408839
167,17.5187969925,18.1352657005,23.7825083413,NA
169,23.3981902742,16.2212212212,22.2554347826,23.7802148972
170,21.6274855112,18.7680428826,21.4317833068,24.7125934187
171,21.6138344227,18.2870275888,23.2889581297,22.2253952616
173,25.9079111945,21.422462406,26.312245776,28.8736568837
174,24.4901602229,16.9268231768,22.6388323658,24.821885785
175,NA,18.7687500324,24.3303611891,NA
176,NA,20.1430170377,26.1536684086,NA
179,28.0410774411,23.3027317397,26.8109856107,28.6821004199
181,15.8502162897,16.5205853175,24.6346115625,NA
182,26.9150623886,19.2935290844,24.9865432897,27.4778322987
184,NA,28.1355311355,NA,29.769243075
186,NA,17.871703789,NA,27.45618873
187,18.5605803389,NA,24.8005540654,24.1219851117
188,21.4603030303,14.689575847,22.5619829732,NA
189,24.8258064699,18.0222222222,23.7433330154,25.7329749323
190,26.0374528655,23.0448791901,29.2780197519,26.2419628865
191,25.3515305357,19.2026143791,26.0051811422,28.7593052109
192,19.8479519441,16.3063065695,23.2981752056,21.775971093
194,22.0584950324,24.155862069,25.8785438645,32.0707323858
195,25.8998144343,23.2508998026,25.3081245338,26.9697722567
196,24.1213707422,16.8579492403,26.3888199171,29.2605931648
197,24.511257764,18.4473737771,26.4013784986,NA
198,18.7619617225,21.5042735043,25.7749354005,28.9784289784
199,21.3276763887,18.4444023817,21.2356593784,26.012488898
200,20.9158249158,NA,22.8067521171,24.7857430564
202,21.7578687622,NA,25.50998831,27.0506052542
203,21.7085297419,21.3203537132,25.9308970599,28.3140096618
205,16.9801040216,13.024327116,24.5411415356,23.9101300032
206,14.9513888889,20.8409088773,24.5753308207,27.6810818492
207,18.2228535354,18.2056878307,22.9428320994,NA
208,17.832570604,18.7563364055,23.3692624777,25.899489447
209,22.5863095238,21.2267892664,26.2190320573,27.1937476518
210,21.4977438021,15.0454545455,20.719875931,24.9969296288
212,20.7046166897,18.5964234179,25.0893998514,25.0294657097
213,NA,NA,NA,NA
214,25.4842105154,15.8928571429,25.6871765382,NA
216,26.0569105691,19.6186575329,26.7980688484,29.4672919673
218,23.271155631,24.6848096012,25.8851449275,29.322997416
219,23.2475574713,NA,29.6874236874,26.8785951288
220,24.4883394728,21.0782685729,26.8202614379,NA
222,25.7750256016,25.3896350724,27.4294355071,27.1113826579
223,22.2386345231,19.2209239677,26.532125769,28.8436582362
224,21.9086691087,17.5305284993,23.738195957,26.6757681244
225,22.9075091575,22.7738975598,24.0359436699,28.3599343491
226,23.539973,24.1189438064,26.834637633,27.7901947593
227,24.8074229692,22.354512888,31.498871634,31.9949277008
228,25.4996360496,19.6871087091,22.8716576115,21.980400982
230,25.095507923,19.9336020803,21.5055361305,NA
NA,NA,NA,NA,NA
232,22.0788377744,21.1135512673,26.2404272051,30.3141212488
234,20.2952380952,20.291678438,28.2330253078,28.1486291486
236,20.3999476111,13.9075611888,22.9039711675,26.9452409399
237,17.5882408725,20.0849224305,24.3077816492,26.4482234248
239,20.9922107641,24.959900107,25.076143848,25.5374321857
240,21.8387923351,20.5551490847,25.4885860479,25.2203629704
241,22.1736857826,17.6054315476,21.799899447,25.7362745098
242,21.9005847953,20.7324175824,24.4689276241,29.2422791134
243,29.696037296,18.5850946439,23.900057547,28.9425540515
245,28.0296296296,13.5719814241,25.3374355244,29.820853083
246,22.7819758952,19.2981427485,24.5848652313,27.9391025641
247,20.8100744285,13.7483660131,21.8616198616,26.5017920676
249,19.7690097259,20.580495356,23.5069271914,23.4945042762
251,28.6785296868,23.3565089194,24.3998149755,26.8088431807
253,19.8533595216,16.14973907,21.5061329606,22.3599585759
254,24.6702173275,15.9431818182,26.7656177922,30.1263277689
256,24.3400315026,22.9231908643,24.8188798066,25.5946410893
259,26.7060867027,25.5522174803,26.2872388726,25.6537356322
260,22.7444706853,25.3367003367,27.6431363855,27.3719220419
262,19.5492776058,24.4709383754,24.7029531192,26.596510547
263,23.9904761905,21.981572116,28.5822265843,30.4799505734
264,24.8315412186,17.3629540749,25.3635963093,28.1964285714
266,21.0974259974,17.1957671958,27.7166080107,26.235196075
267,22.1050108932,19.002955665,27.4397834016,29.4274891775
268,20.8301762632,14.9988592271,20.3697404782,22.6676441838
270,23.5939849624,22.4625010034,27.463474787,24.6092645312
272,24.8481839673,22.3213294749,24.0817307692,26.1029411765
273,22.2582123759,14.2474120083,27.6830775789,29.5134053872
275,23.0172619048,16.7308321398,24.9243084485,25.3116938326
279,25.1725484871,22.1545452335,25.3874221911,29.2629462041
281,24.4646945647,NA,24.7626262626,27.4113300493
282,24.4404761905,NA,27.112104479,29.0058651088
284,24.7360654424,23.3122153254,24.3482623574,26.7647450318
285,25.0528297239,23.2582243404,25.210687123,28.8296934866
289,19.8726602005,19.4377865204,25.1068937276,24.546057204
291,20.9292391304,21.2920872895,25.9643358762,29.5288841593
295,21.8673192506,15.9589319599,24.9938829179,25.9513708514
297,18.2917858144,21.8911150984,24.5007834378,28.059234625
299,19.2153923038,19.5921474359,24.7722926214,27.3465867829
301,23.309965935,20.1137578434,26.9621406344,30.7202380952
302,NA,NA,NA,NA
