"genotype","it2010","it2011","sw2010","sw2011"
3,561.224489886225,311.41666674375,1605.0000001,1102.5833334425
6,651.8571428577,586.796875,652.37500002125,NA
7,562.058823625,687.745098016068,1275,135.111111153689
8,551.25,537.4999999995,1445.300000097,NA
11,507.60714277,439.805555595,980.57142864,1034.625
13,124.772727285,NA,1645,1176.6
14,581.107142856869,391.28,825.44,NA
16,474.00000004,350,1408.625,NA
18,200.64,220.500000000225,2054.9375,620.499999895431
23,348.4,270,2163.688888968,320.0000000004
24,179.458333333637,317.755555642931,1023.272727224,630.15625
25,265.5166665925,241.37142857184,1134.519230925,914.85
26,900.54411749625,461.999999999475,1271.85714294,NA
28,513,288.264705795,1554.5454546,640.0000000008
29,NA,294.55,1780.36363624,570
30,345.6160715025,365.75,2300,529.523809600662
31,340.4166665875,255.282051359664,2470.833333375,NA
32,178.33333334,553.159663778037,483.6,657.3333333343
34,626.35714291,195.5000000085,1597.44047607721,397.750000000462
35,346.82857142892,317.326530522712,2157.99999987,922.09821433125
36,343.214285824557,382.104938335851,1351.4,1422.225
39,309.222222155,249.8846153675,NA,1236
40,459.9999999,228.418367350961,1548.94871782661,714.733333434
41,387.545454492,139.5,1784.00000016,1304.88888896
42,355.25,266.40625,3842.6666656,233.4375
44,286.99999998975,287,932.8,268.190476194362
46,324.9,189.732142857031,1455.9999999987,564.444444534039
47,736.046875,257.171875,1827.57575748969,NA
48,500.923076980677,269.7,1969.644444404,NA
50,654.5357144175,549,1431.9642857625,NA
51,144.000000012,292.373015904731,2907.57264963242,NA
52,226.384615395,NA,1401.7142857124,NA
53,340.600000026,436.30555571,NA,822.8
58,210.29166667525,340.495237991897,768.35,817.848484877503
59,139.75,NA,1385,590.715909195
60,734.969696860812,298.153846172941,2405.5,905
61,270.476190510381,336.121212093204,3026.72727289,524.416666665762
64,NA,NA,1608.2,227.124999999713
65,354.71153837,376.2,2615.89285714387,NA
67,200.199999993,302.2499999025,1602.6593407307,NA
68,349.025641153754,320.705882426326,1198.75757592392,1769.03030318509
69,280.9285714245,207.500000000125,1707.77777765839,781.2
70,274.79545453775,354.5625,1232.14285714125,NA
72,493.75,254.205882315,1880.66666666848,797.454545392
74,485.1,170.2571428658,1854.7272726985,141.8333333395
75,370.361111036114,427.1484375,1073.12962975205,NA
78,636.904761802262,384.42857142798,2102.125,423.16
84,300,211.6153846305,1695.3846156,501.81818186
85,541.5,351.6399999882,1974.107142975,955.733333184
87,292.84615395,581.700000105,1337.2222222625,817.5
88,771.175,668.078125,2187.62393178506,447.222222125511
89,432.83333323125,394.642857143312,1758.125000145,702.8571428568
90,451.733333436,262.200000009604,2259.75000000173,362.5
91,294.17142857168,231.098039202945,2085.715909235,NA
92,269.963636448,299.7866666564,2072.375,1073.96666666773
99,298.66666676,252.431372558359,1664.86666666814,497.93333333282
100,361.990476281239,242.53125,1161.47916666549,591.666666666075
103,207.2,163.125000000225,1357.2,513.0681818475
104,259.05,214.8571428568,1726.875,464.8
105,490.76923068,268.333333324,2468.4,1115.3214283925
106,448,231.2727272655,1547.83333321,529.696969613909
108,241.733333268,282.179487107064,NA,526.736111007764
109,658.799999892,394.38235291,1419.24242430149,819
110,506.977777882209,375.250000095,1792,841.1428571424
111,261.16071418125,416.890756371225,1506.5357141475,555.5
114,498.97058835,NA,2494.04166666876,629.000000082708
115,296.672727246,245.972222230861,1342.000000122,573.381818288
116,287.111111016329,389.78571428535,1038.83333333446,574.2
120,677.023809408012,356.475,1523.95714285777,766.81818185
123,NA,279.3823529325,1819.54700873162,892.272727125
124,117.818181828,242.483516485701,NA,276.85714293
126,313.5,468.48529427,1142.3750000925,1069.5
127,310.5,262.8,1058.8749998925,597.375
128,297.5,331.875,1271.022222182,376.266666576
129,193,213.571428571312,1262.21666666783,303.542857216
130,190.857142852938,288.153409090575,1378.125,386.25
132,225.00000000225,162.312500000306,2089.72727264731,612.88888892
134,217.128205126036,160.339285714025,320.523809473938,236.25
136,231.636363634,200.2428571466,2101.5,997.227272695
137,321.9999999885,288.75,1231.388888975,1422.1666665325
138,572.30769226,650.22352929,1471.97619037781,226.166666659
139,354.66666676,NA,1566.33333321,NA
140,662.619047514888,327.24999999945,1699.828571558,553.208333334112
141,131.3999999928,208.000000008,1462.16666671968,606.190476100638
143,346.2857142852,426.64285719,1209.244444512,646.8
144,391.05,190.46875,1386.36666666806,1413.525
145,94.325,105.6,1545.77142857082,816.33333323
146,500.527472657355,723.94444427,NA,NA
147,NA,NA,NA,NA
148,155.79999999981,137.65714285686,1959.99999984,1393
149,852.6,608.944444570539,1511.35,402.66666672
150,330.933333424,321.00840342825,1291.03846159,581.163636316
152,546.75,362.25,1532.3,NA
154,81.9,246.512820619764,2101.96296288463,883.346153797582
155,408,140.059259253136,2112.06593423776,1111.5714285701
157,392.916666589512,377.343750000431,2201.89999999806,801
158,341.802197896668,144.529411752,1553.875,820.76
159,386.083333332862,354.977777887029,2039.33333318161,NA
160,320.584615524,295.375,1698.30769222,441.14285714203
163,797.17857142785,340.941176338,2201.5,739.375
165,254.84375,463.582417503699,1814.5,1337.6000001074
167,101.428571435476,273.288888879651,1881.75,NA
169,373.318181904609,147.39999999978,1929.28571439,948.0625
170,490.509803879537,346.153846179033,1927,1728.79120894411
171,535.9166667575,338.395604338767,1540.266666768,777.309090818
173,195.11363635675,238.7733333432,1573,1116.5
174,279.84,626.35714291,2055.85714274,1075.5
175,119,438.22222226,1087.42857130231,NA
176,NA,158.23333334175,1294.2857144,NA
179,225.04,430.984615236,1283.2929294338,317.178571505
181,152.4923077032,269.9999999865,959.030302947709,NA
182,377.584615338,416.1375,2458.44444428,969.98958343625
184,NA,165.384615378,NA,911.393939549115
186,NA,145.743589734415,NA,820.407142758
187,162.549450539811,217.538461532,1546.125,421.85
188,124.3125,157.871794876592,1369.2954544425,NA
189,480.413333242,442.222222133886,1930.65,1039.11111108
190,530.055555659436,267.0000000003,1437.66,938.742424317209
191,540.595238050569,278.3,2082.67346949349,478.952381086157
192,515.0625,298.47058827,2221.371428452,1301.625
194,478.025974136696,206.7999999912,1949.62962971833,779.161904653941
195,497.458823389,516.638655326382,2459.599999956,1466.16
196,631.3359375,495.928571466,1749.95454556125,1044
197,488.25,414.40833342625,1123.07692314173,NA
198,170.375,154.194444437414,1570.6666666335,421.2
199,552.83333323,256.071428558625,3357.44444449,934.76923064
200,196.35,NA,1733.75,482.6666666672
202,248.85,NA,1743.9999999984,622.48333333407
203,200.318181765,352.91428571392,1005.9375,544.6666666673
205,241.350649360784,197.9599999902,2637.55555573438,1272.7272726
206,137.41666667475,176.2499999925,1341.78571433712,893.1818180925
207,315,199.52,2797.45238080999,NA
208,560.24,231.7499999955,2397.69444432604,1321.3
209,942.36363643,202.58333333305,1374.8333334275,1066.39285714334
210,410.939393967903,216.125,2232.75,1141.91666666785
212,422.3,252.4285714283,2594.025,379.55555568
213,NA,NA,NA,NA
214,278.857142948862,185.58333332625,2089.55,NA
216,277.2,347.2857142859,1730.66666656,373.7
218,241.1733333422,132.419047626404,1271.250000075,653.9999999994
219,113.6875,NA,1670.05,271.88571428616
220,315.380952293198,306.625,1107.833333295,NA
222,561,413.406593520835,1310.399999856,1258.71428562
223,163.625,239.075,1877.199999948,504.17142857172
224,483.333333372,169,2110.355555464,928.125
225,279.5,234.545454538125,2006.8125,678.71666666731
226,370.242424366215,251.124999999694,1958.41558451382,1563.0892856175
227,281.5833332425,246.1333333428,1469.8928571975,584.6
228,373.392857055,310.095238007478,1777.71428571312,1207.266666788
230,183.92,197.49999999975,1409.3333332075,NA
231,NA,NA,NA,NA
232,278.476190393962,229.228571364,1752.38461535506,317.81818186
234,264.844444392,403.333333425,2033.38333333133,591.066666762
236,482.238095159412,304.186666748,1441.62857142909,188.5
237,512.200000026,248.1230769152,1193.371428624,535.333333357999
239,562.888888922,347.899159528118,1650.13333333184,893.71428571312
240,177.29166667625,263.7555555492,1344.272727345,466.909090877103
241,490.722222155,408.3984375,1230.25000000166,1120.3214287075
242,107.25,102,1328.888888925,922.071428460788
243,93.00000000015,153.75,603.99999996,1149.75
245,97.5925925798852,97.1481481525074,2244,804.999999885
246,333.406593528932,334,1929.7375,1845
247,185.777777768,176.424242435248,2810.844444272,2190.175
249,238.363636374,97.265625,1424.4375,1480.21428571261
251,232.75,158.8285714344,1547.33333318539,432.225
253,410.75,319.789915876962,3010.37037056235,1126.81818195712
254,356.972222122061,183.215686271714,1307.714285828,746.81818179
256,813.214285856262,278.73125,1083.875,1528.3333333345
259,199.777777781,321.02222222236,1742.015384646,155.277777785239
260,289.833333333025,149.76,1472.62500012375,737.904762046419
262,138.18181818,139.3269230745,1575.6,424.242424375485
263,139.3777777728,159.375,1133.98214285849,1324.33333343
264,195.525,158.640625,1417.6,508.8
266,315,196.95,1749.19047608506,585.00000009
267,109.1363636475,140.9454545504,1580.0625,605.694444544014
