year,site,tray,pos,genotype,fruit_per_plant,nseeds,mean_mass_ug,total_mass_mg,Comment
2010,italy,1,5,italy,39,,,,
2010,italy,1,12,sweden,0,,,,
2010,italy,1,114,sweden,8,24,22.0833333333,530,
2010,italy,1,123,italy,19,34,24.1176470588,820,
2010,italy,1,143,italy,8,23,13.4782608696,310,xxx
2010,italy,1,149,italy,6,,,,
2010,italy,1,156,sweden,0,,,,
2010,italy,1,226,italy,0,,,,
2010,italy,1,247,italy,0,,,,
2010,italy,1,252,sweden,5,19,22.6315789474,430,
2010,italy,1,257,sweden,11,30,23,690,
2010,italy,2,61,italy,23,,,,
2010,italy,2,109,sweden,7,,,,
2010,italy,2,157,italy,28,,,,
2010,italy,2,162,italy,10,,,,
2010,italy,2,178,italy,30,,,,
2010,italy,2,181,sweden,5,,,,
2010,italy,2,190,sweden,0,,,,
2010,italy,2,253,italy,9,,,,
2010,italy,3,1,italy,6,,,,
2010,italy,3,12,sweden,0,,,,
2010,italy,3,26,sweden,0,,,,
2010,italy,3,83,italy,10,24,25,600,
2010,italy,3,105,italy,50,51,23.9215686275,1220,
2010,italy,3,147,italy,9,28,23.9285714286,670,
2010,italy,3,164,sweden,0,,,,
2010,italy,3,199,sweden,6,17,21.7647058824,370,
2010,italy,3,209,sweden,6,,,,grön frukt
2010,italy,3,249,sweden,5,,,,
2010,italy,3,256,italy,92,47,24.6808510638,1160,
2010,italy,4,18,italy,8,17,22.9411764706,390,
2010,italy,4,20,sweden,0,,,,
2010,italy,4,23,sweden,2,,,,
2010,italy,4,24,sweden,0,,,,
2010,italy,4,29,sweden,0,,,,
2010,italy,4,36,italy,19,43,22.7906976744,980,
2010,italy,4,61,italy,12,,,,
2010,italy,4,77,italy,6,,,,
2010,italy,4,94,sweden,0,,,,
2010,italy,4,101,sweden,7,20,20.5,410,
2010,italy,4,120,sweden,4,21,10,210,
2010,italy,4,158,italy,0,,,,
2010,italy,4,173,italy,35,41,24.1463414634,990,
2010,italy,4,178,sweden,0,,,,
2010,italy,4,187,sweden,0,,,,
2010,italy,4,210,italy,34,41,24.3902439024,1000,
2010,italy,4,243,sweden,0,,,,
2010,italy,4,246,sweden,0,,,,
2010,italy,5,11,sweden,0,,,,
2010,italy,5,15,sweden,2,,,,
2010,italy,5,36,italy,18,17,23.5294117647,400,
2010,italy,5,57,italy,16,33,23.9393939394,790,
2010,italy,5,68,sweden,0,,,,
2010,italy,5,86,sweden,0,,,,
2010,italy,5,116,italy,14,,,,NSeed = 0
2010,italy,5,128,sweden,0,,,,
