year,site,tray,pos,row,column,subline,genotype,fruit_per_plant,fruit_per_seed
2010,italy,1,5,1,5,It32,italy,39,39
2010,italy,1,12,1,12,Sw7,sweden,,0
2010,italy,1,114,9,10,Sw11,sweden,8,8
2010,italy,1,123,10,6,It24,italy,19,19
2010,italy,1,143,11,13,It15,italy,8,8
2010,italy,1,149,12,6,It15,italy,6,6
2010,italy,1,156,12,13,Sw43,sweden,,0
2010,italy,1,226,18,5,It41,italy,,0
2010,italy,1,247,19,13,It24,italy,,0
2010,italy,1,252,20,5,Sw43,sweden,5,5
2010,italy,1,257,20,10,Sw47,sweden,11,11
2010,italy,2,61,5,9,It32,italy,23,23
2010,italy,2,109,9,5,Sw11,sweden,7,7
2010,italy,2,157,13,1,It41,italy,28,28
2010,italy,2,162,13,6,It24,italy,10,10
2010,italy,2,178,14,9,It15,italy,30,30
2010,italy,2,181,14,12,Sw11,sweden,5,5
2010,italy,2,190,15,8,Sw47,sweden,,0
2010,italy,2,253,20,6,It15,italy,9,9
2010,italy,3,1,1,1,It41,italy,6,6
2010,italy,3,12,1,12,Sw43,sweden,,0
2010,italy,3,26,2,13,Sw43,sweden,,0
2010,italy,3,83,7,5,It41,italy,10,10
2010,italy,3,105,9,1,It24,italy,50,50
2010,italy,3,147,12,4,It41,italy,9,9
2010,italy,3,164,13,8,Sw7,sweden,,0
2010,italy,3,199,16,4,Sw43,sweden,6,6
2010,italy,3,209,17,1,Sw11,sweden,6,6
2010,italy,3,249,20,2,Sw47,sweden,5,5
2010,italy,3,256,20,9,It15,italy,92,92
2010,italy,4,18,2,5,It32,italy,8,8
2010,italy,4,20,2,7,Sw11,sweden,,0
2010,italy,4,23,2,10,Sw7,sweden,2,2
2010,italy,4,24,2,11,Sw47,sweden,,0
2010,italy,4,29,3,3,Sw7,sweden,,0
2010,italy,4,36,3,10,It32,italy,19,19
2010,italy,4,61,5,9,It24,italy,12,12
2010,italy,4,77,6,12,It41,italy,6,6
2010,italy,4,94,8,3,Sw7,sweden,,0
2010,italy,4,101,8,10,Sw47,sweden,7,7
2010,italy,4,120,10,3,Sw47,sweden,4,4
2010,italy,4,158,13,2,It32,italy,,0
2010,italy,4,173,14,4,It15,italy,35,35
2010,italy,4,178,14,9,Sw47,sweden,,0
2010,italy,4,187,15,5,Sw43,sweden,,0
2010,italy,4,210,17,2,It15,italy,34,34
2010,italy,4,243,19,9,Sw43,sweden,,0
2010,italy,4,246,19,12,Sw43,sweden,,0
2010,italy,5,11,1,11,Sw11,sweden,,0
2010,italy,5,15,2,2,Sw11,sweden,2,2
2010,italy,5,36,3,10,It41,italy,18,18
2010,italy,5,57,5,5,It15,italy,16,16
2010,italy,5,68,6,3,Sw11,sweden,,0
2010,italy,5,86,7,8,Sw47,sweden,,0
2010,italy,5,116,9,12,It41,italy,14,14
2010,italy,5,128,10,11,Sw7,sweden,,0
2010,italy,5,129,10,12,It24,italy,17,17
2010,italy,5,142,11,12,It32,italy,14,14
2010,italy,5,153,12,10,It41,italy,26,26
2010,italy,5,211,17,3,Sw47,sweden,,0
2010,italy,5,230,18,9,It41,italy,47,47
2010,italy,5,233,18,12,It41,italy,7,7
2010,italy,5,239,19,5,It15,italy,9,9
2010,italy,5,254,20,7,It15,italy,40,40
2010,italy,6,25,2,12,It32,italy,24,24
2010,italy,6,101,8,10,It32,italy,19,19
2010,italy,6,141,11,11,It15,italy,20,20
2010,italy,6,148,12,5,Sw43,sweden,,0
2010,italy,6,153,12,10,It15,italy,25,25
2010,italy,6,220,17,12,It24,italy,27,27
2010,italy,6,238,19,4,Sw7,sweden,3,3
2010,italy,6,244,19,10,Sw47,sweden,,0
2010,italy,7,27,3,1,It32,italy,20,20
2010,italy,7,37,3,11,It32,italy,57,57
