Genotype,"Mean(# Seeds (good), Italy, 2010)","Mean(# Seeds (good), Italy, 2011)","Mean(# Seeds (good), Sweden, 2010)","Mean(# Seeds (good), Sweden, 2011)","N(# Seeds (good), Italy, 2010)","N(# Seeds (good), Italy, 2011)","N(# Seeds (good), Sweden, 2010)","N(# Seeds (good), Sweden, 2011)","Mean(MSeedMass(ug), Italy, 2010)","Mean(MSeedMass(ug), Italy, 2011)","Mean(MSeedMass(ug), Sweden, 2010)","Mean(MSeedMass(ug), Sweden, 2011)","N(MSeedMass(ug), Italy, 2010)","N(MSeedMass(ug), Italy, 2011)","N(MSeedMass(ug), Sweden, 2010)","N(MSeedMass(ug), Sweden, 2011)","Mean(TotMass(ug), Italy, 2010)","Mean(TotMass(ug), Italy, 2011)","Mean(TotMass(ug), Sweden, 2010)","Mean(TotMass(ug), Sweden, 2011)","N(TotMass(ug), Italy, 2010)","N(TotMass(ug), Italy, 2011)","N(TotMass(ug), Sweden, 2010)","N(TotMass(ug), Sweden, 2011)"
3,31.4285714286,23.125,35,32.75,7,8,4,4,22.1045710188,19.010370326,26.0220588235,22.1814123377,7,7,4,4,688.5714285714,465.7142857143,907.5,742.5,7,7,4,4
6,33.4285714286,36.25,23.375,33,7,4,8,2,20.6745141328,18.8283529044,26.5199283657,26.9166666667,7,4,8,2,671.4285714286,682.5,618.75,895,7,4,8,2
7,32.5,38.3333333333,30,12.6666666667,8,6,5,3,23.2330895466,20.2156327475,23.728603872,30.073005698,8,6,5,3,775,771.6666666667,712,366.6666666667,8,6,5,3
8,30.625,35.8333333333,29.1,32.5,8,6,10,2,26.8545944187,19.2913044808,27.0878865808,24.7142857143,8,6,10,2,842.5,716.6666666667,795,805,8,6,10,2
11,30.5,35.5,24,23.25,4,6,7,4,25.2456884075,18.6129908104,26.5247381404,23.4590377653,4,6,7,4,757.5,665,601.4285714286,547.5,4,6,7,4
13,22.5,39,40,31.8,4,1,4,5,22.2174526862,20.5128205128,23.3944256757,27.1210485785,4,1,4,4,497.5,800,935,775,4,1,4,4
14,30.2857142857,26.8,26.8,,7,5,5,0,24.3069341174,21.0458441558,25.4028471528,,7,5,5,0,730,512,688,,7,5,5,0
16,28,28,29.5,36,6,3,4,2,21.9184236419,14.2596782303,19.7259929613,20.6944444444,6,3,4,2,618.3333333333,410,572.5,745,6,3,4,2
18,22.8,32.6666666667,38.5,31.2857142857,5,6,4,7,22.6405136083,17.4253505116,20.9951298701,23.8794279943,5,6,4,7,520,570,800,735.7142857143,5,6,4,7
23,26.8,27,35.6,26.6666666667,5,4,5,3,20.2384782609,18.7160061187,24.1660995675,27.087654321,5,4,5,3,528,502.5,850,720,5,4,5,3
24,19.6666666667,26.3333333333,26.8,27.25,6,6,5,4,26.2808649151,20.9892772472,27.4735483871,26.43330018,6,6,5,4,500,548.3333333333,738,712.5,6,6,5,4
25,22.25,25.1428571429,33.75,28.5,8,7,8,4,22.9570342852,17.808588186,25.7097575655,27.9457707044,8,7,8,3,501.25,461.4285714286,866.25,923.3333333333,8,7,8,3
26,36.625,29.3333333333,29,20,8,6,4,2,22.0597423063,16.3991924255,22.0854558516,22.2474747475,8,6,4,2,808.75,446.6666666667,642.5,445,8,6,4,2
28,36,24.75,30,26.6666666667,6,8,6,3,23.5915236727,18.5207074265,24.2492352601,23.2458064811,6,8,6,3,841.6666666667,491.25,726.6666666667,616.6666666667,6,8,6,3
29,,27.4,34,25,0,5,7,4,,17.5653235653,20.6543650953,25.294060559,0,5,7,4,,494,702.8571428571,635,0,5,7,4
30,25.875,33.25,40,26.6666666667,8,4,3,3,20.9580703095,18.7323903168,22.9918339392,24.358974359,7,4,3,3,614.2857142857,602.5,916.6666666667,653.3333333333,7,4,3,3
31,23.75,25.3333333333,37.5,26,4,3,4,2,18.7912698413,18.9254385965,23.1957583747,22.6923076923,4,2,4,2,442.5,700,887.5,590,4,2,4,2
32,20,29.5714285714,23.25,22.6666666667,5,7,4,3,27.0960705961,27.8909907263,27.6854727398,29.0168521663,5,7,4,3,524,710,615,623.3333333333,5,7,4,3
34,37,25.5,33.5714285714,28.6666666667,6,6,7,6,21.203683456,17.7292856097,21.4498183697,25.0999768115,6,6,7,6,785,463.3333333333,710,711.6666666667,6,6,7,6
35,28.4285714286,31.2857142857,39,31.875,7,7,6,8,21.9288251431,19.969541671,24.3879530033,26.4712143328,7,7,6,8,620,624.2857142857,940,846.25,7,7,6,8
36,25.8333333333,28.7777777778,29,29.4,6,9,4,5,20.8860300393,20.9652226066,24.7344877345,29.5707070707,6,8,4,5,540,671.25,705,848,6,8,4,5
39,30.25,22.25,36,30,4,4,2,5,19.4841601635,17.4834656085,24.2664092664,26.2914575866,4,4,2,5,577.5,415,875,778,4,4,2,5
40,30,26.4285714286,32.1666666667,30.2,5,7,6,5,22.9881177393,14.1120200251,22.9652660394,23.5450917015,5,7,6,5,682,372.8571428571,740,712,5,7,6,5
41,29.4,18,36,32,5,4,6,6,24.0989078434,23.9393939394,23.8064898617,24.0801068114,5,3,6,6,718,376.6666666667,860,783.3333333333,5,3,6,6
42,28,27.5,32,20.75,6,6,6,4,16.7728288633,14.2258006999,23.1280568324,23.7648809524,6,6,6,4,455,408.3333333333,735,492.5,6,6,6,4
44,30.75,35,35.2,29.3333333333,4,4,5,3,21.2297338173,17.861611184,21.5148900347,22.9899804497,4,4,5,3,650,672.5,764,690,4,4,5,3
46,34.2,24.2857142857,37.3333333333,26.6666666667,5,7,3,6,22.4864354562,19.0162738496,22.5354239257,27.1987802793,5,6,3,6,774,531.6666666667,840,740,5,6,3,6
47,36.125,27.25,30.8333333333,34,8,4,6,2,18.9733075185,14.3461538462,24.2797150539,23.4881422925,8,4,6,2,693.75,440,738.3333333333,775,8,4,6,2
48,24.6666666667,23.2,36.4,26,6,5,5,1,20.7364437806,23.2134615385,24.4114509246,22.3076923077,6,5,5,1,511.6666666667,568,890,580,6,5,5,1
50,30.75,28.8,33.75,28,4,5,4,1,23.6299768138,16.0680077286,23.4135536398,21.7857142857,3,5,4,1,960,474,790,610,3,5,4,1
51,22,28.1428571429,36.5555555556,22,4,7,9,2,21.6547619048,17.2580145418,26.5036352817,25.4545454545,4,7,9,2,490,520,961.1111111111,560,4,7,9,2
52,27,45.5,31.8571428571,17,7,2,7,2,20.1840804872,23.2374274662,23.7287757789,22.0588235294,7,2,7,2,530,1055,752.8571428571,375,7,2,7,2
53,28.6,34.75,36,30.25,5,8,2,4,21.0513558905,18.64662274,25.9806949807,27.5407524121,5,8,2,4,594,680,935,830,5,8,2,4
58,25.75,31.1428571429,25.4,32.8333333333,4,7,5,6,20.501237067,20.9180928092,27.0405878951,28.8314288097,4,6,5,6,597.5,715,684,946.6666666667,4,6,5,6
59,21.5,25.5,40,28.625,4,2,4,8,20.7221019721,21.5,26.9603369603,24.5152449666,4,2,4,8,422.5,540,1077.5,678.75,4,2,4,8
60,30.1666666667,25.3333333333,34,25,6,6,4,3,23.7074919747,19.647008547,23.7567963858,25.5679012346,6,5,4,3,726.6666666667,610,807.5,616.6666666667,6,5,4,3
61,23.6666666667,25.6363636364,35.8,19.3333333333,6,11,5,3,21.9369524094,22.0611566812,23.2039388108,21.3709329886,6,10,5,3,501.6666666667,605,828,413.3333333333,6,10,5,3
64,19.5,15,34,26.3333333333,2,2,6,3,16.8333333333,21.9457013575,23.8076132081,21.3443963444,2,2,6,3,365,330,800,600,2,2,6,3
65,29.75,34.2,36.7142857143,,4,5,7,0,22.0572916667,15.6203015375,21.030190007,,4,5,7,0,647.5,554,770,,4,5,7,0
67,21,29.25,31.8571428571,27.5,9,8,7,2,22.7393715501,22.1267289616,22.6851687865,25.9666666667,9,8,7,2,454.4444444444,665,715.7142857143,710,9,8,7,2
68,27.6666666667,31.3333333333,36.8333333333,33.6666666667,6,9,6,6,25.4088862453,23.3493867244,26.6904305919,28.5469798057,6,9,6,6,688.3333333333,727.7777777778,985,943.3333333333,6,9,6,6
69,28.5,23.7142857143,35.3333333333,36,6,7,3,6,23.1588271076,17.3755392004,24.0408812174,25.2946941394,6,7,3,6,656.6666666667,410,850,891.6666666667,6,7,3,6
70,28.25,31,32.8571428571,27,4,7,7,2,24.3863636364,21.0642554534,25.0901983763,26.8068965517,4,7,7,2,687.5,665.7142857143,824.2857142857,715,4,7,7,2
72,31.25,21.5,34.6666666667,34.4,8,6,3,5,24.5998555058,18.4980885342,26.3792404036,31.0164188752,8,4,3,5,771.25,560,916.6666666667,1062,8,4,3,5
