"id","it2010","it2011","sw2010","sw2011"
3,0.777777778,0.833333333,0.388888889,0.5
6,0.888888889,0.888888889,0.611111111,0.277777778
7,0.944444444,0.944444444,0.444444444,0.333333333
8,0.944444444,0.944444444,0.833333333,0.166666667
11,0.823529412,1,0.777777778,0.555555556
13,0.611111111,0.5,0.444444444,0.611111111
14,0.888888889,0.833333333,0.555555556,0.166666667
16,0.823529412,0.777777778,0.444444444,0.333333333
18,0.416666667,0.888888889,0.444444444,0.666666667
23,0.705882353,0.888888889,0.5,0.333333333
24,0.888888889,0.833333333,0.611111111,0.444444444
25,0.833333333,0.833333333,0.722222222,0.555555556
26,0.944444444,0.888888889,0.388888889,0.166666667
28,0.888888889,0.944444444,0.611111111,0.444444444
29,0.222222222,0.666666667,0.611111111,0.555555556
30,0.777777778,1,0.444444444,0.388888889
31,0.722222222,0.722222222,0.5,0.222222222
32,0.666666667,0.944444444,0.555555556,0.277777778
34,0.833333333,0.833333333,0.666666667,0.444444444
35,0.833333333,0.777777778,0.5,0.777777778
36,0.777777778,1,0.555555556,0.444444444
39,0.5,0.722222222,0.333333333,0.555555556
40,0.666666667,0.777777778,0.722222222,0.666666667
41,0.611111111,0.666666667,0.5,0.5
42,0.888888889,0.888888889,0.666666667,0.444444444
44,0.75,0.833333333,0.555555556,0.388888889
46,0.777777778,0.888888889,0.333333333,0.666666667
47,0.888888889,0.888888889,0.611111111,0.222222222
48,0.764705882,0.888888889,0.5,0.388888889
50,0.823529412,0.888888889,0.388888889,0.277777778
51,0.611111111,1,0.722222222,0.222222222
52,0.764705882,0.777777778,0.611111111,0.222222222
53,0.611111111,1,0.444444444,0.555555556
58,0.666666667,0.833333333,0.444444444,0.611111111
59,0.444444444,0.555555556,0.444444444,0.611111111
60,0.611111111,0.722222222,0.444444444,0.555555556
61,0.777777778,1,0.611111111,0.444444444
64,0.722222222,0.777777778,0.555555556,0.444444444
65,0.722222222,0.944444444,0.666666667,0.333333333
67,0.833333333,1,0.722222222,0.444444444
68,0.722222222,0.944444444,0.611111111,0.611111111
69,0.777777778,0.888888889,0.333333333,0.555555556
70,0.611111111,0.888888889,0.666666667,0.333333333
72,0.833333333,0.944444444,0.444444444,0.611111111
74,0.555555556,0.777777778,0.611111111,0.333333333
75,0.666666667,0.888888889,0.5,0.444444444
78,0.666666667,0.833333333,0.722222222,0.555555556
84,0.555555556,0.722222222,0.722222222,0.611111111
85,0.529411765,0.833333333,0.388888889,0.5
87,0.722222222,0.833333333,0.5,0.444444444
88,0.833333333,0.888888889,0.722222222,0.5
89,0.833333333,0.888888889,0.666666667,0.5
90,0.666666667,0.833333333,0.444444444,0.444444444
91,0.555555556,0.944444444,0.611111111,0.444444444
92,0.611111111,0.833333333,0.722222222,0.555555556
99,0.5,0.944444444,0.277777778,0.277777778
100,0.833333333,0.888888889,0.444444444,0.444444444
103,0.555555556,0.666666667,0.555555556,0.611111111
104,0.444444444,0.888888889,0.444444444,0.666666667
105,0.722222222,0.666666667,0.666666667,0.777777778
106,0.555555556,0.611111111,0.666666667,0.611111111
108,0.833333333,0.722222222,0.333333333,0.666666667
109,0.5,0.944444444,0.611111111,0.333333333
110,0.882352941,1,0.333333333,0.611111111
111,0.777777778,0.944444444,0.388888889,0.333333333
114,0.944444444,0.777777778,0.444444444,0.777777778
115,0.647058824,1,0.5,0.611111111
116,0.833333333,0.888888889,0.444444444,0.555555556
120,0.666666667,0.888888889,0.555555556,0.611111111
123,0.222222222,0.944444444,0.722222222,0.611111111
124,0.611111111,0.722222222,0.333333333,0.388888889
126,0.611111111,0.944444444,0.333333333,0.555555556
127,0.625,0.611111111,0.333333333,0.666666667
